gene_id	condition	expression_value	num_samples	source
AT1G01010	normal	6.1015	3	E-GEOD-72806
AT1G01010	salt	6.2605	6	E-GEOD-72806
AT1G01010	heat	6.6818	3	E-GEOD-72806
AT1G01020	normal	6.8244	3	E-GEOD-72806
AT1G01020	salt	7.7560	6	E-GEOD-72806
AT1G01020	heat	8.2062	3	E-GEOD-72806
AT1G01030	normal	4.5236	3	E-GEOD-72806
AT1G01030	salt	5.2416	6	E-GEOD-72806
AT1G01030	heat	6.2352	3	E-GEOD-72806
AT1G01040	normal	9.1997	3	E-GEOD-72806
AT1G01040	salt	9.6266	6	E-GEOD-72806
AT1G01040	heat	9.7313	3	E-GEOD-72806
AT1G01046	normal	2.6630	3	E-GEOD-72806
AT1G01046	salt	3.2224	6	E-GEOD-72806
AT1G01046	heat	2.9386	3	E-GEOD-72806
AT1G01050	normal	9.4905	3	E-GEOD-72806
AT1G01050	salt	9.4740	6	E-GEOD-72806
AT1G01050	heat	9.3561	3	E-GEOD-72806
AT1G01060	normal	5.0444	3	E-GEOD-72806
AT1G01060	salt	4.0297	6	E-GEOD-72806
AT1G01060	heat	3.5443	3	E-GEOD-72806
AT1G01070	normal	5.4811	3	E-GEOD-72806
AT1G01070	salt	6.0224	6	E-GEOD-72806
AT1G01070	heat	6.3159	3	E-GEOD-72806
AT1G01080	normal	10.3612	3	E-GEOD-72806
AT1G01080	salt	9.9969	6	E-GEOD-72806
AT1G01080	heat	9.7471	3	E-GEOD-72806
AT1G01090	normal	10.8095	3	E-GEOD-72806
AT1G01090	salt	10.1890	6	E-GEOD-72806
AT1G01090	heat	9.4831	3	E-GEOD-72806
AT1G01100	normal	10.8515	3	E-GEOD-72806
AT1G01100	salt	10.8534	6	E-GEOD-72806
AT1G01100	heat	10.8533	3	E-GEOD-72806
AT1G01110	normal	5.3219	3	E-GEOD-72806
AT1G01110	salt	5.7814	6	E-GEOD-72806
AT1G01110	heat	6.1898	3	E-GEOD-72806
AT1G01120	normal	10.5311	3	E-GEOD-72806
AT1G01120	salt	10.0813	6	E-GEOD-72806
AT1G01120	heat	9.7319	3	E-GEOD-72806
AT1G01130	normal	4.5025	3	E-GEOD-72806
AT1G01130	salt	4.0589	6	E-GEOD-72806
AT1G01130	heat	3.0000	3	E-GEOD-72806
AT1G01140	normal	9.9357	3	E-GEOD-72806
AT1G01140	salt	10.1776	6	E-GEOD-72806
AT1G01140	heat	10.5216	3	E-GEOD-72806
AT1G01150	normal	2.2224	3	E-GEOD-72806
AT1G01150	salt	1.0000	6	E-GEOD-72806
AT1G01150	heat	0.0000	3	E-GEOD-72806
AT1G01160	normal	7.8989	3	E-GEOD-72806
AT1G01160	salt	8.6159	6	E-GEOD-72806
AT1G01160	heat	8.8265	3	E-GEOD-72806
AT1G01170	normal	8.1616	3	E-GEOD-72806
AT1G01170	salt	8.8116	6	E-GEOD-72806
AT1G01170	heat	8.8652	3	E-GEOD-72806
AT1G01180	normal	7.3249	3	E-GEOD-72806
AT1G01180	salt	6.8497	6	E-GEOD-72806
AT1G01180	heat	6.9735	3	E-GEOD-72806
AT1G01183	normal	0.0000	3	E-GEOD-72806
AT1G01183	salt	0.7370	6	E-GEOD-72806
AT1G01183	heat	0.0000	3	E-GEOD-72806
AT1G01190	normal	5.7279	3	E-GEOD-72806
AT1G01190	salt	3.8745	6	E-GEOD-72806
AT1G01190	heat	3.4594	3	E-GEOD-72806
AT1G01200	normal	4.2224	3	E-GEOD-72806
AT1G01200	salt	3.2224	6	E-GEOD-72806
AT1G01200	heat	2.8745	3	E-GEOD-72806
AT1G01210	normal	6.7726	3	E-GEOD-72806
AT1G01210	salt	7.4443	6	E-GEOD-72806
AT1G01210	heat	7.9830	3	E-GEOD-72806
AT1G01220	normal	9.2296	3	E-GEOD-72806
AT1G01220	salt	9.4339	6	E-GEOD-72806
AT1G01220	heat	9.6061	3	E-GEOD-72806
AT1G01225	normal	5.1699	3	E-GEOD-72806
AT1G01225	salt	5.1632	6	E-GEOD-72806
AT1G01225	heat	5.0297	3	E-GEOD-72806
AT1G01230	normal	8.3823	3	E-GEOD-72806
AT1G01230	salt	7.9278	6	E-GEOD-72806
AT1G01230	heat	7.6606	3	E-GEOD-72806
AT1G01240	normal	8.7737	3	E-GEOD-72806
AT1G01240	salt	8.8933	6	E-GEOD-72806
AT1G01240	heat	8.5837	3	E-GEOD-72806
AT1G01250	normal	4.0589	3	E-GEOD-72806
AT1G01250	salt	4.7549	6	E-GEOD-72806
AT1G01250	heat	3.7370	3	E-GEOD-72806
AT1G01260	normal	7.7165	3	E-GEOD-72806
AT1G01260	salt	8.0697	6	E-GEOD-72806
AT1G01260	heat	8.5379	3	E-GEOD-72806
AT1G01270	normal	0.0000	3	E-GEOD-72806
AT1G01270	salt	0.0000	6	E-GEOD-72806
AT1G01270	heat	0.0000	3	E-GEOD-72806
AT1G01280	normal	2.1155	3	E-GEOD-72806
AT1G01280	salt	2.4150	6	E-GEOD-72806
AT1G01280	heat	1.2224	3	E-GEOD-72806
AT1G01290	normal	7.4235	3	E-GEOD-72806
AT1G01290	salt	7.8847	6	E-GEOD-72806
AT1G01290	heat	8.0112	3	E-GEOD-72806
AT1G01300	normal	10.0932	3	E-GEOD-72806
AT1G01300	salt	9.4405	6	E-GEOD-72806
AT1G01300	heat	9.3264	3	E-GEOD-72806
AT1G01305	normal	0.0000	3	E-GEOD-72806
AT1G01305	salt	0.0000	6	E-GEOD-72806
AT1G01305	heat	0.0000	3	E-GEOD-72806
AT1G01310	normal	0.0000	3	E-GEOD-72806
AT1G01310	salt	0.5850	6	E-GEOD-72806
AT1G01310	heat	0.7370	3	E-GEOD-72806
AT1G01320	normal	12.8432	3	E-GEOD-72806
AT1G01320	salt	12.9682	6	E-GEOD-72806
AT1G01320	heat	12.8225	3	E-GEOD-72806
AT1G01335	normal	0.0000	3	E-GEOD-72806
AT1G01335	salt	0.0000	6	E-GEOD-72806
AT1G01335	heat	0.0000	3	E-GEOD-72806
AT1G01340	normal	7.3546	3	E-GEOD-72806
AT1G01340	salt	5.6677	6	E-GEOD-72806
AT1G01340	heat	3.7370	3	E-GEOD-72806
AT1G01350	normal	7.6439	3	E-GEOD-72806
AT1G01350	salt	7.9725	6	E-GEOD-72806
AT1G01350	heat	8.0980	3	E-GEOD-72806
AT1G01355	normal	1.0000	3	E-GEOD-72806
AT1G01355	salt	0.8745	6	E-GEOD-72806
AT1G01355	heat	1.0000	3	E-GEOD-72806
AT1G01360	normal	7.0444	3	E-GEOD-72806
AT1G01360	salt	7.3619	6	E-GEOD-72806
AT1G01360	heat	7.2823	3	E-GEOD-72806
AT1G01370	normal	5.8989	3	E-GEOD-72806
AT1G01370	salt	5.0945	6	E-GEOD-72806
AT1G01370	heat	3.9696	3	E-GEOD-72806
AT1G01380	normal	4.3219	3	E-GEOD-72806
AT1G01380	salt	4.6342	6	E-GEOD-72806
AT1G01380	heat	5.0297	3	E-GEOD-72806
AT1G01390	normal	5.4263	3	E-GEOD-72806
AT1G01390	salt	4.8989	6	E-GEOD-72806
AT1G01390	heat	4.2730	3	E-GEOD-72806
AT1G01400	normal	0.0000	3	E-GEOD-72806
AT1G01400	salt	0.2224	6	E-GEOD-72806
AT1G01400	heat	0.0000	3	E-GEOD-72806
AT1G01410	normal	0.0000	3	E-GEOD-72806
AT1G01410	salt	0.0000	6	E-GEOD-72806
AT1G01410	heat	0.0000	3	E-GEOD-72806
AT1G01420	normal	5.8745	3	E-GEOD-72806
AT1G01420	salt	6.3068	6	E-GEOD-72806
AT1G01420	heat	6.7460	3	E-GEOD-72806
AT1G01430	normal	9.5875	3	E-GEOD-72806
AT1G01430	salt	9.4353	6	E-GEOD-72806
AT1G01430	heat	9.4594	3	E-GEOD-72806
AT1G01440	normal	8.6135	3	E-GEOD-72806
AT1G01440	salt	8.3121	6	E-GEOD-72806
AT1G01440	heat	8.1103	3	E-GEOD-72806
AT1G01448	normal	5.9849	3	E-GEOD-72806
AT1G01448	salt	6.8287	6	E-GEOD-72806
